fen,trait,en_passant,roque,cp
7r/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4,0,0,0,69
8/4r3/2R2pk1/6pp/3P4/6P1/5K1P/8,0,0,0,0
6k1/6p1/8/4K3/4NN2/8/8/8,1,0,0,15
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N5/PP2BPPP/R1BQ1RK1,1,0,0,24
6k1/4Rppp/8/8/8/8/5PPP/6K1,1,0,0,1
6k1/6p1/6N1/4K3/4N3/8/8/8,0,0,0,23
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,1,1,0,19
8/8/2N2k2/8/1p2p3/p7/K7/8,0,0,0,0
8/1r6/2R2pk1/6pp/3P4/6P1/5K1P/8,1,0,0,0
1R4k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1,0,0,0,-57
8/5kp1/6N1/4K3/4N3/8/8/8,1,0,0,23
1k1r1r2/pbp3pp/1p1q1p2/2p2Q2/4P3/1P1PB3/P1P3PP/4RRK1,1,0,0,2
8/3B4/8/p4p1k/5P1p/Pb6/1P4P1/6K1,1,0,0,676
r2qk2r/3n2p1/1pp1p3/3pPpb1/P2P1nBp/1NB4P/1PP2P2/R3QR1K,1,1,1,7
1R6/3q1ppk/6n1/b2p2Pp/2pP2b1/p1P5/P1B1rPPB/2Q2NK1,0,0,0,-76
3r4/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/3K4,1,0,0,180
1r2kb1r/pBp2ppp/4pn2/5b2/Q1pq4/6P1/PP1NPP1P/R1B2RK1,0,1,0,257
3r4/6k1/2bPR3/pp3p2/2B2P1p/P7/1P3KP1/8,1,0,0,337
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR,1,1,0,27
r2k2r1/pppb1p1p/2p5/8/3Bn3/8/PPP2PPP/2KR1B1R,0,0,0,152
2r1r1k1/5ppp/8/8/Q7/8/5PPP/4R1K1,1,0,0,2
2r1r1k1/3Q1p2/7R/4N1p1/P4n2/1q5P/5PP1/4R1K1,1,0,0,18
8/5p1k/3r2p1/7p/R6P/8/5PPK/8,1,0,0,0
rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR,0,1,0,15
8/4k3/8/4K3/8/4P3/8/8,0,0,0,16
r1b2rk1/pp3ppp/1q2p3/2npP1N1/8/8/PPQ2PPP/R3RBK1,0,0,0,27
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,0,1,0,18
k1K5/8/8/1P6/8/8/8/8,0,0,0,16
8/8/2B2k2/p4p2/5P1p/Pb6/1P3KP1/8,1,0,0,564
rnbqkb1r/pp2pp1p/5np1/2pp4/3P4/1P1BPN2/P1P2PPP/RNBQK2R,0,1,0,-17
rnbqk2r/ppp2ppp/5n2/2bNp3/2B1PP2/8/PPPP2PP/R1BQK1NR,0,1,0,-11
R4nk1/6p1/8/5pb1/P1pN2b1/7p/2B3P1/5K2,1,0,0,320
8/p5p1/3kp1p1/PPp1np2/2P1p3/4P2P/3KBPP1/8,1,0,0,23
8/8/2b5/5B1k/1P3P1p/7K/6P1/8,1,0,0,1592
R4nk1/6p1/8/5pb1/P1p3bp/8/2B1N1P1/5K2,1,0,0,303
8/p4pp1/3kp1p1/PPp1n3/2P1p3/4P2P/4BPP1/4K3,1,0,0,42
8/p4pp1/3kp1p1/PPp1n3/2P1p3/4P2P/3KBPP1/8,0,0,0,0
7r/1p4k1/p1bR1r2/5p1p/2P2P2/3B4/PP4P1/3KR3,1,0,0,0
7r/1p4k1/p1bR1r2/2P2p1p/5P2/3B4/PP4P1/3KR3,0,0,0,4
5r1r/1p4k1/p1bR4/5p1p/2P2P2/3B4/PP4P1/3KR3,0,0,0,2
8/1r6/5pk1/6pp/3P4/6P1/2R2K1P/8,0,0,0,0
rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR,0,1,0,0
7k/6p1/6Q1/8/8/1B6/8/6K1,1,0,0,1
k7/2K5/8/1P6/8/8/8/8,1,0,0,15
r2qk2r/3n4/1pp1pp2/3p2b1/P2P1nBp/1NB4P/1PP2P2/R3QR1K,1,1,0,253
r1bqk1nr/pp1pppbp/2n3p1/1Bp5/4P3/5N2/PPPP1PPP/RNBQR1K1,0,1,0,20
rnbqkbnr/pp2pppp/8/3p4/3P4/8/PP2PPPP/RNBQKBNR,1,1,0,19
8/8/8/3k1K2/8/4P3/8/8,1,0,0,16
8/8/8/8/3K2k1/6N1/3Q4/8,0,0,0,4
r1bq1rk1/pp1pppbp/2n2np1/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1,0,0,0,29
8/3B4/5k2/p4p2/5P1p/Pb6/1P3KP1/8,0,0,0,625
1r3rk1/pb2q1pp/3ppn2/2p2p2/1PP5/PQ3PP1/1B1RP1BP/R5K1,0,0,0,38
R4nk1/6p1/8/8/P1pN1pbb/8/2B3K1/8,1,0,0,425
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2P1P3/2NP4/PP3PPP/R1BQKBNR,1,1,0,-7
8/5ppk/3r4/7p/R6P/8/5PPK/8,0,0,0,0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,0,1,0,15
8/8/6p1/4p3/6Pk/5K2/5N1p/8,1,0,0,0
8/8/6p1/4p3/6Pk/8/5NKp/8,0,0,0,0
8/8/6p1/4p3/6P1/6k1/5N2/7K,1,0,0,0
8/8/6p1/4p3/6Pk/8/5N2/7K,0,0,0,0
8/8/6p1/4p3/6P1/6k1/5N2/6K1,0,0,0,0
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR,1,1,0,25
r5k1/p4pb1/4rnpp/1p2p3/4P1P1/3NBP2/1PP4P/R3K2R,1,1,0,170
8/8/8/8/3K4/5kN1/3Q4/8,1,0,0,4
r5k1/R4pb1/4rnpp/1p2p3/4P1P1/3NBP2/1PP4P/4K2R,0,1,0,160
